epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,train_tpr,train_fpr,train_auroc,training_time_sec,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_tpr,val_fpr,val_auroc,validation_time_sec,learning_rate
1,0.5039183163955328,0.7862903225806451,0.7622377622377622,0.8515625,0.8044280442804428,0.8515625,0.2833333333333333,0.8371419270833332,703.2591042518616,0.2007984158785447,0.8869565217391304,0.9791666666666666,0.7966101694915254,0.8785046728971962,0.7966101694915254,0.017857142857142856,0.9798728813559322,321.2718563079834,0.0001
2,0.2347328333454507,0.9274193548387096,0.9296875,0.9296875,0.9296875,0.9296875,0.075,0.9654296874999999,55.518898248672485,0.2402328102161055,0.9217391304347826,0.9629629629629629,0.8813559322033898,0.9203539823008849,0.8813559322033898,0.03571428571428571,0.9868341404358353,11.694397449493408,0.0001
3,0.08964411725267588,0.9758064516129032,0.9919354838709677,0.9609375,0.9761904761904762,0.9609375,0.008333333333333333,0.9956705729166667,76.70731902122498,0.28555341846329846,0.9130434782608695,0.9454545454545454,0.8813559322033898,0.9122807017543859,0.8813559322033898,0.05357142857142857,0.9872881355932204,11.962386846542358,0.0001
4,0.12374936239587353,0.9717741935483871,0.984,0.9609375,0.9723320158102767,0.9609375,0.016666666666666666,0.9922526041666667,77.01084327697754,0.36338152150502023,0.9217391304347826,0.9310344827586207,0.9152542372881356,0.9230769230769231,0.9152542372881356,0.07142857142857142,0.9884987893462469,11.687167406082153,0.0001
5,0.08961266152877098,0.9798387096774194,0.9767441860465116,0.984375,0.980544747081712,0.984375,0.025,0.9950846354166667,75.73455810546875,0.4433952117968938,0.9217391304347826,0.9464285714285714,0.8983050847457628,0.9217391304347826,0.8983050847457628,0.05357142857142857,0.9878934624697336,12.04763150215149,0.0001
